Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
tig00000001_polypolish	cds	630007	630810	-	NHFMJM_02795	fabG	Short-chain dehydrogenase/reductase SDR	COG:COG1028, COG:I, SO:0001217, UniRef:UniRef50_Q397P4, UniRef:UniRef90_D0J5J8
tig00000001_polypolish	cds	630807	632348	-	NHFMJM_02800	menE,fadK	Long-chain-fatty-acid--CoA ligase	COG:COG0318, COG:I, SO:0001217, UniRef:UniRef50_A0A6P2ELJ3, UniRef:UniRef90_A0A1Y1J5X9
tig00000001_polypolish	cds	632367	633233	-	NHFMJM_02805		hypothetical protein	RefSeq:WP_034369294.1, SO:0001217, UniParc:UPI000510309F, UniRef:UniRef100_A0A096FHE3, UniRef:UniRef90_A0A645DTY7
tig00000001_polypolish	cds	633335	634477	-	NHFMJM_02810	caiA	Acyl-CoA dehydrogenase-like protein	COG:COG1960, COG:I, SO:0001217, UniRef:UniRef50_A0A2A6N5Z2, UniRef:UniRef90_D0J5J5
tig00000001_polypolish	cds	634474	636447	-	NHFMJM_02815	pccA	3-methylcrotonyl-CoA carboxylase subunit alpha	COG:COG4770, COG:I, SO:0001217, UniRef:UniRef50_A0A542RXW3, UniRef:UniRef90_A0A5A7MDT1
tig00000001_polypolish	cds	636444	637277	-	NHFMJM_02820	caiD	Enoyl-CoA hydratase/isomerase	COG:COG1024, COG:I, SO:0001217, UniRef:UniRef50_A0A0N7J8C7, UniRef:UniRef90_D0J5J3
tig00000001_polypolish	cds	637288	638466	-	NHFMJM_02825	caiA	Acyl-CoA dehydrogenase-like protein	COG:COG1960, COG:I, SO:0001217, UniRef:UniRef50_A0A0M7LPJ7, UniRef:UniRef90_D0J5J2
tig00000001_polypolish	cds	638523	640166	-	NHFMJM_02830	mmdA	Carboxyl transferase	COG:COG4799, COG:I, SO:0001217, UniRef:UniRef50_A0A375FW66, UniRef:UniRef90_D0J5J1
tig00000001_polypolish	cds	640163	641053	-	NHFMJM_02835	fabG	2,4-dienoyl-CoA reductase	COG:COG1028, COG:I, SO:0001217, UniRef:UniRef50_A0A375FLX3, UniRef:UniRef90_A0A0L7MQ18
tig00000001_polypolish	cds	641053	641712	-	NHFMJM_02840	acrR	TetR family transcriptional regulator	COG:COG1309, COG:K, SO:0001217, UniRef:UniRef50_A0A0L7MR12, UniRef:UniRef90_A0A0L7MR12
tig00000001_polypolish	cds	641789	642808	-	NHFMJM_02845	araC	AraC family transcriptional regulator	COG:COG2207, COG:K, SO:0001217, UniRef:UniRef50_B7WZY1, UniRef:UniRef90_A0A0L7MQ89
tig00000001_polypolish	cds	642934	644118	+	NHFMJM_02850	paaJ	Thiolase	COG:COG0183, COG:I, SO:0001217, UniRef:UniRef50_Q1LD89, UniRef:UniRef90_D0J5I7
tig00000001_polypolish	cds	644130	644570	+	NHFMJM_02855	maoC	MaoC-dehydrat-N domain-containing protein	COG:COG2030, COG:I, SO:0001217, UniRef:UniRef50_B7WZY3, UniRef:UniRef90_A0A5A7ME88
tig00000001_polypolish	cds	644583	644996	+	NHFMJM_02860	maoC	MaoC family dehydratase	COG:COG2030, COG:I, SO:0001217, UniRef:UniRef50_A0A5E7NA46, UniRef:UniRef90_A0A5A7MG12
tig00000001_polypolish	cds	645027	645857	+	NHFMJM_02865	fabG	Short-chain dehydrogenase/reductase SDR	COG:COG1028, COG:I, SO:0001217, UniRef:UniRef50_A0A5E7MBW7, UniRef:UniRef90_D0J5I4
tig00000001_polypolish	cds	645860	647014	+	NHFMJM_02870		Acyl-CoA dehydrogenase	SO:0001217, UniRef:UniRef50_Q5LVW3, UniRef:UniRef90_A0A5N7WMW1
tig00000001_polypolish	cds	647069	648625	+	NHFMJM_02875		AMP-dependent synthetase and ligase	SO:0001217, UniRef:UniRef50_A0A063BG14, UniRef:UniRef90_B7WZY7
tig00000001_polypolish	cds	648625	649407	+	NHFMJM_02880		Enoyl-CoA hydratase	SO:0001217, UniRef:UniRef50_F8GX79, UniRef:UniRef90_A0A076PHL2
tig00000001_polypolish	cds	649537	650181	+	NHFMJM_02885		3'-5' exonuclease	SO:0001217, UniRef:UniRef50_A0A0W7YWS0
tig00000001_polypolish	cds	650253	651449	-	NHFMJM_02890	gGDEF	GGDEF domain-containing protein	COG:COG2199, COG:T, SO:0001217, UniRef:UniRef50_A0A5A7MDI4, UniRef:UniRef90_A0A5A7MDI4
tig00000001_polypolish	cds	651658	652935	+	NHFMJM_02895	mET17	O-acetylhomoserine/O-acetylserine sulfhydrylase	COG:COG2873, COG:E, SO:0001217, UniRef:UniRef50_B8CTE4, UniRef:UniRef90_B7WZZ2
tig00000001_polypolish	cds	652963	654291	-	NHFMJM_02900		Iron(II)-dependent oxidoreductase EgtB	SO:0001217, UniRef:UniRef50_A0A0M2WL66
tig00000001_polypolish	cds	654278	655333	-	NHFMJM_02905	egtD	L-histidine N(Alpha)-methyltransferase	COG:COG4301, COG:R, SO:0001217, UniRef:UniRef50_A0A080NMH5, UniRef:UniRef90_A0A096EMG7
tig00000001_polypolish	cds	655692	656306	-	NHFMJM_02910	ompW	Membrane protein	COG:COG3047, COG:M, SO:0001217, UniRef:UniRef50_P55561, UniRef:UniRef90_A0A076PSD3
tig00000001_polypolish	cds	656510	657529	-	NHFMJM_02915	mutK	Membrane protein MutK/YedI, may be involved in DNA repair	COG:COG2354, COG:L, SO:0001217, UniRef:UniRef50_A0A2S7EWI9, UniRef:UniRef90_D0J5H4
tig00000001_polypolish	cds	657673	657882	+	NHFMJM_02920		hypothetical protein	
tig00000001_polypolish	cds	657926	659131	-	NHFMJM_02925	viaA	VWFA domain-containing protein	COG:COG2425, COG:S, SO:0001217, UniRef:UniRef50_A0A150ARC0, UniRef:UniRef90_A0A363RRD1
tig00000001_polypolish	cds	659134	661716	-	NHFMJM_02930		DUF5682 domain-containing protein	SO:0001217, UniRef:UniRef50_A1VTQ8, UniRef:UniRef90_A0A0K6ID68
tig00000001_polypolish	cds	661770	662852	-	NHFMJM_02935	moxR	AAA-5 domain-containing protein	COG:COG0714, COG:R, SO:0001217, UniRef:UniRef50_A0A6I1ZAV9, UniRef:UniRef90_A0A1Y1J8M6
tig00000001_polypolish	cds	662889	664646	-	NHFMJM_02940		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A363RQQ9, UniRef:UniRef90_A0A1Y1J9I4
tig00000001_polypolish	cds	664643	666055	-	NHFMJM_02945		SWIM-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A363RQQ8, UniRef:UniRef90_A0A1Y1J611
tig00000001_polypolish	cds	666433	668745	-	NHFMJM_02950		TonB-dependent siderophore receptor	SO:0001217, UniRef:UniRef50_A0A377QX40, UniRef:UniRef90_B7X003
tig00000001_polypolish	cds	669226	670278	-	NHFMJM_02955		Anti-FecI sigma factor, FecR	SO:0001217, UniRef:UniRef50_B7X004, UniRef:UniRef90_B7X004
tig00000001_polypolish	cds	670275	670784	-	NHFMJM_02960		RNA polymerase, sigma-24 subunit, ECF subfamily	RefSeq:WP_003056515.1, SO:0001217, UniParc:UPI0000E76FD7, UniRef:UniRef100_B7X005, UniRef:UniRef50_A0A0H4WP20, UniRef:UniRef90_B7X005
tig00000001_polypolish	cds	670986	674996	-	NHFMJM_02965	purL2	phosphoribosylformylglycinamidine synthase	COG:COG0047, COG:F, SO:0001217, UniRef:UniRef50_A0A5D9AKL8, UniRef:UniRef90_UPI001668B832
tig00000001_polypolish	cds	675176	675988	+	NHFMJM_02970	map	Methionine aminopeptidase	COG:COG0024, COG:J, SO:0001217, UniRef:UniRef50_P44421, UniRef:UniRef90_A0A0K6IDT8
tig00000001_polypolish	cds	676180	678822	+	NHFMJM_02975	glnD	Bifunctional uridylyltransferase/uridylyl-removing enzyme	COG:COG2844, COG:OT, SO:0001217, UniRef:UniRef50_Q39F41, UniRef:UniRef90_D0J5G2
tig00000001_polypolish	cds	678897	679157	+	NHFMJM_02980		hypothetical protein	
tig00000001_polypolish	cds	679222	680022	-	NHFMJM_02985	psd	Phosphatidylserine decarboxylase proenzyme	COG:COG0688, COG:I, SO:0001217, UniRef:UniRef50_Q2YB83, UniRef:UniRef90_D0J5G0
tig00000001_polypolish	cds	680497	680754	+	NHFMJM_02990	infA	Translation initiation factor IF-1	COG:COG0361, COG:J, SO:0001217, UniRef:UniRef50_Q32RV0, UniRef:UniRef90_A0A096GW21
tig00000001_polypolish	tRNA	680825	680901	+	NHFMJM_02995	Pro_trna	tRNA-Pro	SO:0000268
tig00000001_polypolish	tRNA	681439	681515	-	NHFMJM_03000	fMet_trna	tRNA-fMet	SO:0000266
tig00000001_polypolish	cds	682276	682488	+	NHFMJM_03005		hypothetical protein	
tig00000001_polypolish	cds	682594	682743	+	NHFMJM_03010		hypothetical protein	RefSeq:WP_003080696.1, SO:0001217, UniParc:UPI0002464785, UniRef:UniRef100_A0A370F0I9, UniRef:UniRef50_B7WYY4, UniRef:UniRef90_B7WYY4
tig00000001_polypolish	cds	682770	682922	-	NHFMJM_03015		hypothetical protein	
tig00000001_polypolish	cds	683789	684772	-	NHFMJM_03020		Tripartite tricarboxylate transporter substrate binding protein	SO:0001217, UniRef:UniRef50_A0A5C7USN7
tig00000001_polypolish	cds	684935	685699	+	NHFMJM_03025		FadR family transcriptional regulator	SO:0001217, UniRef:UniRef50_I0HP71, UniRef:UniRef90_UPI0005B4CC8B
tig00000001_polypolish	cds	685952	687322	+	NHFMJM_03030		GntP family transporter	SO:0001217, UniRef:UniRef50_A0A3S4SSW2, UniRef:UniRef90_UPI0005B2F429
tig00000001_polypolish	cds	687403	688311	+	NHFMJM_03035		3-hydroxyisobutyrate dehydrogenase	SO:0001217, UniRef:UniRef50_Q0KBC7, UniRef:UniRef90_A0A261S1Y7
tig00000001_polypolish	cds	688308	689609	+	NHFMJM_03040		3-oxo-tetronate kinase	SO:0001217, UniRef:UniRef50_Q4KBD3
tig00000001_polypolish	cds	689606	690298	+	NHFMJM_03045		3-oxo-tetronate 4-phosphate decarboxylase	SO:0001217, UniRef:UniRef50_A0A653JM88
tig00000001_polypolish	cds	690317	691114	+	NHFMJM_03050		2-oxo-tetronate isomerase	SO:0001217, UniRef:UniRef50_Q0KBD1
tig00000001_polypolish	cds	691120	692106	+	NHFMJM_03055		AB hydrolase-1 domain-containing protein	SO:0001217, UniRef:UniRef50_K0I734
tig00000001_polypolish	cds	692573	692731	-	NHFMJM_03060		hypothetical protein	
tig00000001_polypolish	tRNA	693017	693092	-	NHFMJM_03065	His_trna	tRNA-His	SO:0000262
tig00000001_polypolish	tRNA	693232	693307	-	NHFMJM_03070	His_trna	tRNA-His	SO:0000262
tig00000001_polypolish	cds	693373	695271	-	NHFMJM_03075	surA	PpiC-type peptidyl-prolyl cis-trans isomerase	COG:COG0760, COG:O, SO:0001217, UniRef:UniRef50_A0A4Q3G3L7, UniRef:UniRef90_D0J5F4
tig00000001_polypolish	cds	696169	696729	-	NHFMJM_03080		TetR family transcriptional regulator	SO:0001217, UniRef:UniRef50_X1X4H7, UniRef:UniRef90_A0A096HG38
tig00000001_polypolish	cds	696927	697982	+	NHFMJM_03085	ycjR	Xylose isomerase domain protein TIM barrel	COG:COG1082, COG:G, SO:0001217, UniRef:UniRef50_A0A165Z0K1, UniRef:UniRef90_A9BWN0
tig00000001_polypolish	cds	698019	698903	+	NHFMJM_03090		AB hydrolase-1 domain-containing protein	SO:0001217, UniRef:UniRef50_W0A6K5
tig00000001_polypolish	cds	698906	699859	+	NHFMJM_03095		Esterase	SO:0001217, UniRef:UniRef50_F6APJ7, UniRef:UniRef90_A0A0L7MPZ8
tig00000001_polypolish	cds	700147	700401	+	NHFMJM_03100		hypothetical protein	
tig00000001_polypolish	cds	701306	701971	-	NHFMJM_03105		Abasic site processing protein	SO:0001217, UniRef:UniRef50_A0A109CWN5
tig00000001_polypolish	cds	702037	702258	+	NHFMJM_03110		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0K6IDV7, UniRef:UniRef90_A0A0K6IDV7
tig00000001_polypolish	cds	702255	702467	+	NHFMJM_03115		hypothetical protein	
tig00000001_polypolish	cds	702490	703020	-	NHFMJM_03120		hypothetical protein	
tig00000001_polypolish	cds	703516	704049	+	NHFMJM_03125		hypothetical protein	
tig00000001_polypolish	cds	704161	704412	+	NHFMJM_03130		hypothetical protein	
tig00000001_polypolish	cds	704413	705222	-	NHFMJM_03135		hypothetical protein	
tig00000001_polypolish	cds	705226	705843	-	NHFMJM_03140		GCN5-related N-acetyltransferase	SO:0001217, UniRef:UniRef50_D0IYZ2, UniRef:UniRef90_D0IYZ2
tig00000001_polypolish	cds	705914	706201	-	NHFMJM_03145		Ybl63	SO:0001217, UniRef:UniRef50_A0A0J2DYI1
tig00000001_polypolish	cds	706203	706637	-	NHFMJM_03150		hypothetical protein	
tig00000001_polypolish	cds	706648	708492	-	NHFMJM_03155		hypothetical protein	
tig00000001_polypolish	cds	708510	711383	-	NHFMJM_03160		DUF1983 domain-containing protein	SO:0001217, UniRef:UniRef50_D0IYZ7
tig00000001_polypolish	cds	711383	713062	-	NHFMJM_03165		hypothetical protein	SO:0001217, UniRef:UniRef50_D0IYZ8, UniRef:UniRef90_D0IYZ8
tig00000001_polypolish	cds	713072	713632	-	NHFMJM_03170		hypothetical protein	SO:0001217, UniRef:UniRef50_D0IYZ9, UniRef:UniRef90_D0IYZ9
tig00000001_polypolish	cds	713632	714348	-	NHFMJM_03175		hypothetical protein	SO:0001217, UniRef:UniRef50_D0IZ00, UniRef:UniRef90_D0IZ00
tig00000001_polypolish	cds	714352	714981	-	NHFMJM_03180		hypothetical protein	
tig00000001_polypolish	cds	715067	715516	-	NHFMJM_03185		hypothetical protein	SO:0001217, UniRef:UniRef50_D0IZ02, UniRef:UniRef90_D0IZ02
tig00000001_polypolish	cds	715587	716711	-	NHFMJM_03190		DUF4043 domain-containing protein	SO:0001217, UniRef:UniRef50_D0IZ03, UniRef:UniRef90_D0IZ03
tig00000001_polypolish	cds	716855	717079	-	NHFMJM_03195		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5A7MKD1, UniRef:UniRef90_A0A5A7MKD1
tig00000001_polypolish	cds	717079	718041	-	NHFMJM_03200		hypothetical protein	
tig00000001_polypolish	cds	718052	720313	-	NHFMJM_03205		Phage P22-like portal protein	SO:0001217, UniRef:UniRef50_A0A1Y0ERE3, UniRef:UniRef90_D0IZ05
tig00000001_polypolish	cds	720313	720795	-	NHFMJM_03210		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1Y0ER61, UniRef:UniRef90_A0A7V8RQD1
tig00000001_polypolish	cds	720792	722240	-	NHFMJM_03215		DNA packaging protein	SO:0001217, UniRef:UniRef50_A0A6J5N4P2, UniRef:UniRef90_A0A5A7MMD1
tig00000001_polypolish	cds	722230	722910	-	NHFMJM_03220		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5S4SJS9, UniRef:UniRef90_A0A5S4SJS9
tig00000001_polypolish	cds	723711	727037	+	NHFMJM_03225		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5N7XF82, UniRef:UniRef90_A0A5N7XF82
tig00000001_polypolish	cds	727034	727219	+	NHFMJM_03230		hypothetical protein	
tig00000001_polypolish	cds	727444	727845	-	NHFMJM_03235		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0K6IE74, UniRef:UniRef90_A0A0K6IE74
tig00000001_polypolish	cds	727842	728333	-	NHFMJM_03240		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0K6IEB5, UniRef:UniRef90_D0IZ10
tig00000001_polypolish	cds	728330	728941	-	NHFMJM_03245	rrrD	Lysozyme	COG:COG3772, COG:M, SO:0001217, UniRef:UniRef50_A0A4V2SHR5, UniRef:UniRef90_D0IZ11
tig00000001_polypolish	cds	728938	729240	-	NHFMJM_03250		hypothetical protein	RefSeq:WP_043009141.1, SO:0001217, UniParc:UPI0005B4CA27, UniRef:UniRef100_A0A7V8RQB3, UniRef:UniRef50_A0A072TBN6, UniRef:UniRef90_A0A7V8RQB3
tig00000001_polypolish	cds	729391	737451	-	NHFMJM_03255		hypothetical protein	
tig00000001_polypolish	cds	737461	739059	-	NHFMJM_03260		hypothetical protein	
tig00000001_polypolish	cds	739168	739527	-	NHFMJM_03265		hypothetical protein	
tig00000001_polypolish	cds	739798	739989	-	NHFMJM_03270		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0016759999, UniRef:UniRef90_UPI0005B3B515
tig00000001_polypolish	cds	739989	740585	-	NHFMJM_03275		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2G6ZSW9, UniRef:UniRef90_A0A0K6IEE9
tig00000001_polypolish	cds	740579	740914	-	NHFMJM_03280		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A7V8RNG4, UniRef:UniRef90_UPI000A69C849
tig00000001_polypolish	cds	740905	741162	-	NHFMJM_03285		Putative hydrolase	SO:0001217, UniRef:UniRef50_A0A0M2DVT0, UniRef:UniRef90_D0IZ17
tig00000001_polypolish	cds	741159	741719	-	NHFMJM_03290		DUF1064 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0K6IE46, UniRef:UniRef90_A0A0K6IE46
tig00000001_polypolish	cds	741719	742279	-	NHFMJM_03295		ATP-dependent RNA helicase RhlB	SO:0001217, UniRef:UniRef50_A0A0M2DVE5, UniRef:UniRef90_A0A5A7MMA5
tig00000001_polypolish	cds	742276	743283	-	NHFMJM_03300		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5S4SML2, UniRef:UniRef90_A0A5S4SML2
tig00000001_polypolish	cds	743351	744031	-	NHFMJM_03305		phage antirepressor KilAC domain-containing protein	SO:0001217, UniRef:UniRef50_N8QV82, UniRef:UniRef90_UPI0012D2BA07
tig00000001_polypolish	cds	744028	744471	-	NHFMJM_03310		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1I0ZDH7, UniRef:UniRef90_UPI0005B3256E
tig00000001_polypolish	cds	744464	744721	-	NHFMJM_03315	hipB	Transcriptional regulator, XRE family	COG:COG1396, COG:K, SO:0001217, UniRef:UniRef50_A0A4D4JTY6, UniRef:UniRef90_D0J402
tig00000001_polypolish	cds	744807	745355	+	NHFMJM_03320		Putative phage repressor	SO:0001217, UniRef:UniRef50_D0J401, UniRef:UniRef90_D0J401
tig00000001_polypolish	cds	745362	745607	-	NHFMJM_03325		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0E3BJM6, UniRef:UniRef90_A0A0E3BJM6
tig00000001_polypolish	cds	746563	747174	+	NHFMJM_03330		VWFA domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1C7L9A6, UniRef:UniRef90_A0A1Y1JBF4
tig00000001_polypolish	cds	747174	747293	+	NHFMJM_03335		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A096GRN5, UniRef:UniRef90_A0A1Y1JA06
tig00000001_polypolish	cds	747966	748535	+	NHFMJM_03340		3'-5' exoribonuclease	SO:0001217, UniRef:UniRef50_A0A7X9U2M4
tig00000001_polypolish	cds	748537	748716	+	NHFMJM_03345		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5D9AT01, UniRef:UniRef90_UPI00050DEAAA
tig00000001_polypolish	cds	748780	749118	+	NHFMJM_03350		hypothetical protein	
tig00000001_polypolish	cds	749111	749329	+	NHFMJM_03355		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1Y1IWR1, UniRef:UniRef90_UPI00050E9D7C
tig00000001_polypolish	cds	749326	749613	+	NHFMJM_03360		hypothetical protein	
tig00000001_polypolish	cds	749644	750837	+	NHFMJM_03365		Recombination-associated protein RdgC	SO:0001217, UniRef:UniRef50_D0J4M8, UniRef:UniRef90_D0J4M8
tig00000001_polypolish	cds	750953	752749	+	NHFMJM_03370		DNA (cytosine-5-)-methyltransferase	SO:0001217, UniRef:UniRef50_E1VAZ1
tig00000001_polypolish	cds	753157	754563	+	NHFMJM_03375		hypothetical protein	
tig00000001_polypolish	cds	754560	755078	+	NHFMJM_03380		class I SAM-dependent methyltransferase	SO:0001217, UniRef:UniRef50_A0A1Y1IWC5, UniRef:UniRef90_UPI00067FD169
tig00000001_polypolish	cds	755078	755662	+	NHFMJM_03385		hypothetical protein	
tig00000001_polypolish	cds	755755	756723	+	NHFMJM_03390		Bacteriophage protein gp37	SO:0001217, UniRef:UniRef50_C5ANL5
tig00000001_polypolish	cds	756769	757014	+	NHFMJM_03395		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0M2DRR9, UniRef:UniRef90_A0A0M2DRR9
tig00000001_polypolish	cds	757011	757859	+	NHFMJM_03400		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A7U9A6V4, UniRef:UniRef90_A0A7U9A6V4
tig00000001_polypolish	cds	758053	758181	+	NHFMJM_03405		hypothetical protein	
tig00000001_polypolish	cds	758168	758392	+	NHFMJM_03410		hypothetical protein	
tig00000001_polypolish	cds	758389	758619	+	NHFMJM_03415		hypothetical protein	
tig00000001_polypolish	cds	758634	758885	+	NHFMJM_03420		DNA-binding protein	RefSeq:WP_080554151.1, SO:0001217, UniParc:UPI0009B69547, UniRef:UniRef100_A0A4Y8TQD3, UniRef:UniRef90_A0A645FFN5
tig00000001_polypolish	cds	758833	759957	-	NHFMJM_03425		Phage integrase family	SO:0001217, UniRef:UniRef50_A0A6M3I0Y8, UniRef:UniRef90_A0A0K6I7E0
tig00000001_polypolish	tRNA	760118	760193	-	NHFMJM_03430	Val_trna	tRNA-Val	SO:0000273
tig00000001_polypolish	cds	760208	760480	-	NHFMJM_03435	himA	DNA-binding protein HU-beta	COG:COG0776, COG:L, RefSeq:WP_003056615.1, SO:0001217, UniParc:UPI0000E77009, UniRef:UniRef100_A0A096FBR8, UniRef:UniRef50_P05384, UniRef:UniRef90_A0A096FBR8
tig00000001_polypolish	cds	760888	761451	-	NHFMJM_03440	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	COG:COG0558, COG:I, RefSeq:WP_003066269.1, SO:0001217, UniParc:UPI0001BB1453, UniRef:UniRef100_A0A5A7MG51, UniRef:UniRef50_A0A4P8HME2, UniRef:UniRef90_A0A373FMU4
tig00000001_polypolish	cds	761512	763464	-	NHFMJM_03445	uvrC	UvrABC system protein C	COG:COG0322, COG:L, SO:0001217, UniRef:UniRef50_D0J5E7, UniRef:UniRef90_D0J5E7
tig00000001_polypolish	cds	763670	764656	-	NHFMJM_03450	tctC	TctC	COG:C, COG:COG3181, SO:0001217, UniRef:UniRef50_A9IB39, UniRef:UniRef90_D0J5E6
tig00000001_polypolish	cds	764821	765801	-	NHFMJM_03455	leuA	Pyruvate carboxyltransferase	COG:COG0119, COG:E, SO:0001217, UniRef:UniRef50_A0A0R0D8N8, UniRef:UniRef90_D0J5E5
tig00000001_polypolish	cds	765798	767180	-	NHFMJM_03460	caiB	Formyl-CoA transferase	COG:COG1804, COG:I, SO:0001217, UniRef:UniRef50_A0A0H4WBK5, UniRef:UniRef90_A0A370EZ47
tig00000001_polypolish	cds	767206	768120	+	NHFMJM_03465	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A4S5BHJ8, UniRef:UniRef90_A0A096FC93
tig00000001_polypolish	cds	768125	769246	+	NHFMJM_03470	earP	Elongation factor P maturation arginine rhamnosyltransferase EarP	COG:COG4394, COG:J, SO:0001217, UniRef:UniRef50_A0A2S0MW10, UniRef:UniRef90_A0A7M1L693
tig00000001_polypolish	cds	769441	769995	+	NHFMJM_03475	efp	Elongation factor P	COG:COG0231, COG:J, GO:0003746, GO:0005737, RefSeq:WP_003056627.1, SO:0001217, UniParc:UPI0000E7708D, UniRef:UniRef100_A0A0K6I7M2, UniRef:UniRef50_A9BVZ6, UniRef:UniRef90_A9BVZ6
tig00000001_polypolish	cds	770169	770918	+	NHFMJM_03480	aat	Leucyl/phenylalanyl-tRNA--protein transferase	COG:COG2360, COG:O, SO:0001217, UniRef:UniRef50_Q21VY7, UniRef:UniRef90_A0A5N7WLX7
tig00000001_polypolish	cds	770947	771717	+	NHFMJM_03485	ate1	Aspartate/glutamate leucyltransferase	COG:COG2935, COG:O, SO:0001217, UniRef:UniRef50_Q7NX30, UniRef:UniRef90_A0A1Y1J2W0
tig00000001_polypolish	cds	771816	772649	+	NHFMJM_03490	iclR	IclR family transcriptional regulator	COG:COG1414, COG:K, SO:0001217, UniRef:UniRef50_A0A1W6ZG24, UniRef:UniRef90_A0A2G6ZTG5
tig00000001_polypolish	cds	772760	773974	-	NHFMJM_03495		D-alanyl-D-alanine endopeptidase	SO:0001217, UniRef:UniRef50_A0A4P6X525
tig00000001_polypolish	cds	774087	775625	-	NHFMJM_03500	leuA	2-isopropylmalate synthase	COG:COG0119, COG:E, SO:0001217, UniRef:UniRef50_O67862, UniRef:UniRef90_A0A031IGV7
tig00000001_polypolish	cds	775732	777405	-	NHFMJM_03505	leuA	2-isopropylmalate synthase	COG:COG0119, COG:E, SO:0001217, UniRef:UniRef50_Q8XSZ5, UniRef:UniRef90_A0A5A7MG61
tig00000001_polypolish	cds	777637	778506	-	NHFMJM_03510	pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase	COG:COG1183, COG:I, SO:0001217, UniRef:UniRef50_A0A031GTR4, UniRef:UniRef90_A0A2A7UUF8
tig00000001_polypolish	cds	778708	779724	-	NHFMJM_03515	ilvC	Ketol-acid reductoisomerase (NADP(+))	COG:COG0059, COG:EH, EC:1.1.1.86, GO:0000287, GO:0004455, GO:0009097, GO:0009099, GO:0050661, RefSeq:WP_003080801.1, SO:0001217, UniParc:UPI0002464892, UniRef:UniRef100_A0A1Y1J6I5, UniRef:UniRef50_Q7P0H9, UniRef:UniRef90_A9BME9
tig00000001_polypolish	cds	779797	780288	-	NHFMJM_03520	ilvN	Acetolactate synthase	COG:COG0440, COG:E, RefSeq:WP_003056638.1, SO:0001217, UniParc:UPI0000E77090, UniRef:UniRef100_A0A373FJK5, UniRef:UniRef50_A0A0H2M6E6, UniRef:UniRef90_A0A0H2M6E6
tig00000001_polypolish	ncRNA-region	780293	780360	-			ilvH RNA	RFAM:RF02993, SO:0005836
tig00000001_polypolish	cds	780446	782233	-	NHFMJM_03525	ilvB	Acetolactate synthase	COG:COG0028, COG:EH, SO:0001217, UniRef:UniRef50_A0A060NJQ9, UniRef:UniRef90_A0A2A7V0C3
tig00000001_polypolish	cds	782499	783068	+	NHFMJM_03530	rpoE	RNA polymerase factor sigma-70	COG:COG1595, COG:K, SO:0001217, UniRef:UniRef50_A0A426FSS8, UniRef:UniRef90_A0A096FBP8
tig00000001_polypolish	cds	783065	783520	+	NHFMJM_03535		Membrane protein	SO:0001217, UniRef:UniRef50_A0A2G6ZQX4, UniRef:UniRef90_A0A076PNE6
tig00000001_polypolish	cds	783543	784358	+	NHFMJM_03540		DUF3106 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A370EXC7
tig00000001_polypolish	cds	784502	784966	+	NHFMJM_03545	yckC	RDD domain-containing protein	COG:COG1714, COG:S, SO:0001217, UniParc:UPI00050FAEED, UniRef:UniRef100_A0A096FDD2, UniRef:UniRef50_A0A0Q4GNF3, UniRef:UniRef90_A0A076PKH7
tig00000001_polypolish	cds	784979	785377	+	NHFMJM_03550	dgkA	Diacylglycerol kinase	COG:COG0818, COG:I, SO:0001217, UniRef:UniRef50_F5Y3R5, UniRef:UniRef90_D0J5C5
tig00000001_polypolish	cds	785374	785967	+	NHFMJM_03555	ppnN	Cytokinin riboside 5'-monophosphate phosphoribohydrolase	COG:COG1611, COG:F, SO:0001217, UniRef:UniRef50_A0A515DAT3, UniRef:UniRef90_A0A096E2F0
